Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por intercambio (2). Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5830.0
Costo promedio (Población): 5952,36
Tiempo total de ejecución: 885.0 ms
Tiempo promedio por generación: 0,89 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17187.0
Mejor fitness en iteración 349: 5909.0
Mejor fitness en iteración 350: 5909.0
Mejor fitness en iteración 351: 5893.0
Mejor fitness en iteración 352: 5893.0
Mejor fitness en iteración 353: 5893.0
Mejor fitness en iteración 354: 5893.0
Mejor fitness en iteración 355: 5893.0
Mejor fitness en iteración 356: 5893.0
Mejor fitness en iteración 357: 5889.0
Mejor fitness en iteración 358: 5893.0
Mejor fitness en iteración 359: 5903.0
Mejor fitness en iteración 360: 5903.0
Mejor fitness en iteración 361: 5903.0
Mejor fitness en iteración 362: 5909.0
Mejor fitness en iteración 363: 5909.0
Mejor fitness en iteración 364: 5909.0
Mejor fitness en iteración 365: 5909.0
Mejor fitness en iteración 366: 5909.0
Mejor fitness en iteración 367: 5903.0
Mejor fitness en iteración 368: 5884.0
Mejor fitness en iteración 369: 5884.0
Mejor fitness en iteración 370: 5884.0
Mejor fitness en iteración 371: 5903.0
Mejor fitness en iteración 372: 5903.0
Mejor fitness en iteración 373: 5903.0
Mejor fitness en iteración 374: 5903.0
Mejor fitness en iteración 375: 5878.0
Mejor fitness en iteración 376: 5878.0
Mejor fitness en iteración 377: 5878.0
Mejor fitness en iteración 378: 5903.0
Mejor fitness en iteración 379: 5903.0
Mejor fitness en iteración 380: 5903.0
Mejor fitness en iteración 381: 5903.0
Mejor fitness en iteración 382: 5903.0
Mejor fitness en iteración 383: 5903.0
Mejor fitness en iteración 384: 5903.0
Mejor fitness en iteración 385: 5903.0
Mejor fitness en iteración 386: 5903.0
Mejor fitness en iteración 387: 5903.0
Mejor fitness en iteración 388: 5899.0
Mejor fitness en iteración 389: 5903.0
Mejor fitness en iteración 390: 5897.0
Mejor fitness en iteración 391: 5901.0
Mejor fitness en iteración 392: 5891.0
Mejor fitness en iteración 393: 5891.0
Mejor fitness en iteración 394: 5891.0
Mejor fitness en iteración 395: 5891.0
Mejor fitness en iteración 396: 5891.0
Mejor fitness en iteración 397: 5891.0
Mejor fitness en iteración 398: 5891.0
Mejor fitness en iteración 399: 5891.0
Mejor fitness en iteración 400: 5890.0
Mejor fitness en iteración 401: 5890.0
Mejor fitness en iteración 402: 5890.0
Mejor fitness en iteración 403: 5890.0
Mejor fitness en iteración 404: 5890.0
Mejor fitness en iteración 405: 5890.0
Mejor fitness en iteración 406: 5890.0
Mejor fitness en iteración 407: 5890.0
Mejor fitness en iteración 408: 5890.0
Mejor fitness en iteración 409: 5890.0
Mejor fitness en iteración 410: 5890.0
Mejor fitness en iteración 411: 5855.0
Mejor fitness en iteración 412: 5855.0
Mejor fitness en iteración 413: 5855.0
Mejor fitness en iteración 414: 5855.0
Mejor fitness en iteración 415: 5855.0
Mejor fitness en iteración 416: 5855.0
Mejor fitness en iteración 417: 5855.0
Mejor fitness en iteración 418: 5851.0
Mejor fitness en iteración 419: 5855.0
Mejor fitness en iteración 420: 5855.0
Mejor fitness en iteración 421: 5855.0
Mejor fitness en iteración 422: 5855.0
Mejor fitness en iteración 423: 5855.0
Mejor fitness en iteración 424: 5855.0
Mejor fitness en iteración 425: 5854.0
Mejor fitness en iteración 426: 5854.0
Mejor fitness en iteración 427: 5854.0
Mejor fitness en iteración 428: 5854.0
Mejor fitness en iteración 429: 5854.0
Mejor fitness en iteración 430: 5854.0
Mejor fitness en iteración 431: 5854.0
Mejor fitness en iteración 432: 5854.0
Mejor fitness en iteración 433: 5843.0
Mejor fitness en iteración 434: 5843.0
Mejor fitness en iteración 435: 5843.0
Mejor fitness en iteración 436: 5843.0
Mejor fitness en iteración 437: 5843.0
Mejor fitness en iteración 438: 5854.0
Mejor fitness en iteración 439: 5854.0
Mejor fitness en iteración 440: 5854.0
Mejor fitness en iteración 441: 5854.0
Mejor fitness en iteración 442: 5854.0
Mejor fitness en iteración 443: 5854.0
Mejor fitness en iteración 444: 5854.0
Mejor fitness en iteración 445: 5854.0
Mejor fitness en iteración 446: 5854.0
Mejor fitness en iteración 447: 5854.0
Mejor fitness en iteración 448: 5834.0
Mejor fitness en iteración 449: 5834.0
Mejor fitness en iteración 450: 5834.0
Mejor fitness en iteración 451: 5834.0
Mejor fitness en iteración 452: 5833.0
Mejor fitness en iteración 453: 5821.0
Mejor fitness en iteración 454: 5821.0
Mejor fitness en iteración 455: 5821.0
Mejor fitness en iteración 456: 5834.0
Mejor fitness en iteración 457: 5834.0
Mejor fitness en iteración 458: 5834.0
Mejor fitness en iteración 459: 5834.0
Mejor fitness en iteración 460: 5834.0
Mejor fitness en iteración 461: 5834.0
Mejor fitness en iteración 462: 5834.0
Mejor fitness en iteración 463: 5834.0
Mejor fitness en iteración 464: 5834.0
Mejor fitness en iteración 465: 5834.0
Mejor fitness en iteración 466: 5834.0
Mejor fitness en iteración 467: 5834.0
Mejor fitness en iteración 468: 5834.0
Mejor fitness en iteración 469: 5834.0
Mejor fitness en iteración 470: 5834.0
Mejor fitness en iteración 471: 5834.0
Mejor fitness en iteración 472: 5834.0
Mejor fitness en iteración 473: 5834.0
Mejor fitness en iteración 474: 5834.0
Mejor fitness en iteración 475: 5834.0
Mejor fitness en iteración 476: 5834.0
Mejor fitness en iteración 477: 5828.0
Mejor fitness en iteración 478: 5828.0
Mejor fitness en iteración 479: 5828.0
Mejor fitness en iteración 480: 5828.0
Mejor fitness en iteración 481: 5828.0
Mejor fitness en iteración 482: 5828.0
Mejor fitness en iteración 483: 5828.0
Mejor fitness en iteración 484: 5828.0
Mejor fitness en iteración 485: 5828.0
Mejor fitness en iteración 486: 5828.0
