Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 328: 5635.0
Mejor fitness en iteración 329: 5635.0
Mejor fitness en iteración 330: 5635.0
Mejor fitness en iteración 331: 5635.0
Mejor fitness en iteración 332: 5635.0
Mejor fitness en iteración 333: 5635.0
Mejor fitness en iteración 334: 5635.0
Mejor fitness en iteración 335: 5635.0
Mejor fitness en iteración 336: 5635.0
Mejor fitness en iteración 337: 5635.0
Mejor fitness en iteración 338: 5635.0
Mejor fitness en iteración 339: 5635.0
Mejor fitness en iteración 340: 5635.0
Mejor fitness en iteración 341: 5635.0
Mejor fitness en iteración 342: 5635.0
Mejor fitness en iteración 343: 5635.0
Mejor fitness en iteración 344: 5635.0
Mejor fitness en iteración 345: 5635.0
Mejor fitness en iteración 346: 5635.0
Mejor fitness en iteración 347: 5635.0
Mejor fitness en iteración 348: 5635.0
Mejor fitness en iteración 349: 5635.0
Mejor fitness en iteración 350: 5635.0
Mejor fitness en iteración 351: 5635.0
Mejor fitness en iteración 352: 5635.0
Mejor fitness en iteración 353: 5635.0
Mejor fitness en iteración 354: 5635.0
Mejor fitness en iteración 355: 5635.0
Mejor fitness en iteración 356: 5635.0
Mejor fitness en iteración 357: 5635.0
Mejor fitness en iteración 358: 5635.0
Mejor fitness en iteración 359: 5635.0
Mejor fitness en iteración 360: 5635.0
Mejor fitness en iteración 361: 5635.0
Mejor fitness en iteración 362: 5635.0
Mejor fitness en iteración 363: 5635.0
Mejor fitness en iteración 364: 5635.0
Mejor fitness en iteración 365: 5635.0
Mejor fitness en iteración 366: 5635.0
Mejor fitness en iteración 367: 5635.0
Mejor fitness en iteración 368: 5635.0
Mejor fitness en iteración 369: 5635.0
Mejor fitness en iteración 370: 5635.0
Mejor fitness en iteración 371: 5635.0
Mejor fitness en iteración 372: 5635.0
Mejor fitness en iteración 373: 5635.0
Mejor fitness en iteración 374: 5635.0
Mejor fitness en iteración 375: 5635.0
Mejor fitness en iteración 376: 5635.0
Mejor fitness en iteración 377: 5635.0
Mejor fitness en iteración 378: 5635.0
Mejor fitness en iteración 379: 5635.0
Mejor fitness en iteración 380: 5635.0
Mejor fitness en iteración 381: 5635.0
Mejor fitness en iteración 382: 5635.0
Mejor fitness en iteración 383: 5635.0
Mejor fitness en iteración 384: 5635.0
Mejor fitness en iteración 385: 5635.0
Mejor fitness en iteración 386: 5635.0
Mejor fitness en iteración 387: 5635.0
Mejor fitness en iteración 388: 5635.0
Mejor fitness en iteración 389: 5635.0
Mejor fitness en iteración 390: 5635.0
Mejor fitness en iteración 391: 5635.0
Mejor fitness en iteración 392: 5635.0
Mejor fitness en iteración 393: 5635.0
Mejor fitness en iteración 394: 5635.0
