Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5633.0
Costo promedio (Población): 5633,00
Tiempo total de ejecución: 878.0 ms
Tiempo promedio por generación: 0,88 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11884.0
Mejor fitness en iteración 429: 5637.0
Mejor fitness en iteración 430: 5637.0
Mejor fitness en iteración 431: 5637.0
Mejor fitness en iteración 432: 5637.0
Mejor fitness en iteración 433: 5637.0
Mejor fitness en iteración 434: 5637.0
Mejor fitness en iteración 435: 5637.0
Mejor fitness en iteración 436: 5637.0
Mejor fitness en iteración 437: 5637.0
Mejor fitness en iteración 438: 5637.0
Mejor fitness en iteración 439: 5637.0
Mejor fitness en iteración 440: 5637.0
Mejor fitness en iteración 441: 5637.0
Mejor fitness en iteración 442: 5637.0
Mejor fitness en iteración 443: 5637.0
Mejor fitness en iteración 444: 5637.0
Mejor fitness en iteración 445: 5637.0
Mejor fitness en iteración 446: 5637.0
Mejor fitness en iteración 447: 5637.0
Mejor fitness en iteración 448: 5637.0
Mejor fitness en iteración 449: 5637.0
Mejor fitness en iteración 450: 5637.0
Mejor fitness en iteración 451: 5637.0
Mejor fitness en iteración 452: 5637.0
Mejor fitness en iteración 453: 5637.0
Mejor fitness en iteración 454: 5637.0
Mejor fitness en iteración 455: 5637.0
Mejor fitness en iteración 456: 5637.0
Mejor fitness en iteración 457: 5637.0
Mejor fitness en iteración 458: 5637.0
Mejor fitness en iteración 459: 5637.0
Mejor fitness en iteración 460: 5637.0
Mejor fitness en iteración 461: 5637.0
Mejor fitness en iteración 462: 5637.0
Mejor fitness en iteración 463: 5637.0
Mejor fitness en iteración 464: 5637.0
Mejor fitness en iteración 465: 5637.0
Mejor fitness en iteración 466: 5637.0
Mejor fitness en iteración 467: 5637.0
Mejor fitness en iteración 468: 5637.0
Mejor fitness en iteración 469: 5637.0
Mejor fitness en iteración 470: 5637.0
Mejor fitness en iteración 471: 5637.0
Mejor fitness en iteración 472: 5637.0
Mejor fitness en iteración 473: 5637.0
Mejor fitness en iteración 474: 5637.0
Mejor fitness en iteración 475: 5637.0
Mejor fitness en iteración 476: 5637.0
Mejor fitness en iteración 477: 5637.0
Mejor fitness en iteración 478: 5637.0
Mejor fitness en iteración 479: 5637.0
Mejor fitness en iteración 480: 5637.0
Mejor fitness en iteración 481: 5637.0
Mejor fitness en iteración 482: 5637.0
Mejor fitness en iteración 483: 5637.0
Mejor fitness en iteración 484: 5637.0
Mejor fitness en iteración 485: 5637.0
Mejor fitness en iteración 486: 5637.0
Mejor fitness en iteración 487: 5637.0
Mejor fitness en iteración 488: 5637.0
Mejor fitness en iteración 489: 5637.0
Mejor fitness en iteración 490: 5637.0
Mejor fitness en iteración 491: 5637.0
Mejor fitness en iteración 492: 5637.0
Mejor fitness en iteración 493: 5637.0
Mejor fitness en iteración 494: 5637.0
Mejor fitness en iteración 495: 5637.0
Mejor fitness en iteración 496: 5637.0
Mejor fitness en iteración 497: 5637.0
Mejor fitness en iteración 498: 5637.0
Mejor fitness en iteración 499: 5637.0
Mejor fitness en iteración 500: 5637.0
Mejor fitness en iteración 501: 5637.0
Mejor fitness en iteración 502: 5637.0
Mejor fitness en iteración 503: 5637.0
Mejor fitness en iteración 504: 5637.0
Mejor fitness en iteración 505: 5637.0
Mejor fitness en iteración 506: 5637.0
Mejor fitness en iteración 507: 5637.0
Mejor fitness en iteración 508: 5637.0
Mejor fitness en iteración 509: 5637.0
Mejor fitness en iteración 510: 5637.0
Mejor fitness en iteración 511: 5637.0
Mejor fitness en iteración 512: 5637.0
Mejor fitness en iteración 513: 5637.0
Mejor fitness en iteración 514: 5637.0
Mejor fitness en iteración 515: 5637.0
Mejor fitness en iteración 516: 5637.0
Mejor fitness en iteración 517: 5637.0
Mejor fitness en iteración 518: 5637.0
Mejor fitness en iteración 519: 5637.0
Mejor fitness en iteración 520: 5637.0
Mejor fitness en iteración 521: 5637.0
Mejor fitness en iteración 522: 5637.0
Mejor fitness en iteración 523: 5637.0
Mejor fitness en iteración 524: 5637.0
Mejor fitness en iteración 525: 5637.0
Mejor fitness en iteración 526: 5637.0
Mejor fitness en iteración 527: 5637.0
Mejor fitness en iteración 528: 5637.0
Mejor fitness en iteración 529: 5637.0
Mejor fitness en iteración 530: 5637.0
Mejor fitness en iteración 531: 5637.0
Mejor fitness en iteración 532: 5637.0
Mejor fitness en iteración 533: 5637.0
Mejor fitness en iteración 534: 5637.0
Mejor fitness en iteración 535: 5637.0
Mejor fitness en iteración 536: 5637.0
Mejor fitness en iteración 537: 5637.0
Mejor fitness en iteración 538: 5637.0
Mejor fitness en iteración 539: 5637.0
Mejor fitness en iteración 540: 5637.0
Mejor fitness en iteración 541: 5637.0
Mejor fitness en iteración 542: 5637.0
Mejor fitness en iteración 543: 5637.0
Mejor fitness en iteración 544: 5637.0
Mejor fitness en iteración 545: 5637.0
Mejor fitness en iteración 546: 5637.0
Mejor fitness en iteración 547: 5637.0
Mejor fitness en iteración 548: 5637.0
Mejor fitness en iteración 549: 5637.0
Mejor fitness en iteración 550: 5637.0
Mejor fitness en iteración 551: 5637.0
Mejor fitness en iteración 552: 5637.0
Mejor fitness en iteración 553: 5637.0
Mejor fitness en iteración 554: 5637.0
Mejor fitness en iteración 555: 5637.0
Mejor fitness en iteración 556: 5637.0
Mejor fitness en iteración 557: 5637.0
