Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 20
Fitness mejor solución:    5638.0
Costo promedio (Población): 5634,40
Tiempo total de ejecución: 911.0 ms
Tiempo promedio por generación: 0,91 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11797.0
Mejor fitness en iteración 537: 5636.0
Mejor fitness en iteración 538: 5636.0
Mejor fitness en iteración 539: 5636.0
Mejor fitness en iteración 540: 5636.0
Mejor fitness en iteración 541: 5636.0
Mejor fitness en iteración 542: 5636.0
Mejor fitness en iteración 543: 5636.0
Mejor fitness en iteración 544: 5636.0
Mejor fitness en iteración 545: 5636.0
Mejor fitness en iteración 546: 5636.0
Mejor fitness en iteración 547: 5636.0
Mejor fitness en iteración 548: 5636.0
Mejor fitness en iteración 549: 5636.0
Mejor fitness en iteración 550: 5636.0
Mejor fitness en iteración 551: 5636.0
Mejor fitness en iteración 552: 5636.0
Mejor fitness en iteración 553: 5636.0
Mejor fitness en iteración 554: 5636.0
Mejor fitness en iteración 555: 5636.0
Mejor fitness en iteración 556: 5636.0
Mejor fitness en iteración 557: 5636.0
Mejor fitness en iteración 558: 5636.0
Mejor fitness en iteración 559: 5636.0
Mejor fitness en iteración 560: 5636.0
Mejor fitness en iteración 561: 5636.0
Mejor fitness en iteración 562: 5636.0
Mejor fitness en iteración 563: 5636.0
Mejor fitness en iteración 564: 5636.0
Mejor fitness en iteración 565: 5636.0
Mejor fitness en iteración 566: 5636.0
Mejor fitness en iteración 567: 5636.0
Mejor fitness en iteración 568: 5636.0
Mejor fitness en iteración 569: 5636.0
Mejor fitness en iteración 570: 5636.0
Mejor fitness en iteración 571: 5636.0
Mejor fitness en iteración 572: 5636.0
Mejor fitness en iteración 573: 5636.0
Mejor fitness en iteración 574: 5636.0
Mejor fitness en iteración 575: 5636.0
Mejor fitness en iteración 576: 5636.0
Mejor fitness en iteración 577: 5636.0
Mejor fitness en iteración 578: 5636.0
Mejor fitness en iteración 579: 5636.0
Mejor fitness en iteración 580: 5636.0
Mejor fitness en iteración 581: 5636.0
Mejor fitness en iteración 582: 5636.0
Mejor fitness en iteración 583: 5636.0
Mejor fitness en iteración 584: 5636.0
Mejor fitness en iteración 585: 5636.0
Mejor fitness en iteración 586: 5636.0
Mejor fitness en iteración 587: 5636.0
Mejor fitness en iteración 588: 5636.0
Mejor fitness en iteración 589: 5636.0
Mejor fitness en iteración 590: 5636.0
Mejor fitness en iteración 591: 5636.0
Mejor fitness en iteración 592: 5636.0
Mejor fitness en iteración 593: 5636.0
Mejor fitness en iteración 594: 5636.0
Mejor fitness en iteración 595: 5636.0
Mejor fitness en iteración 596: 5636.0
Mejor fitness en iteración 597: 5636.0
Mejor fitness en iteración 598: 5636.0
Mejor fitness en iteración 599: 5636.0
Mejor fitness en iteración 600: 5636.0
Mejor fitness en iteración 601: 5636.0
Mejor fitness en iteración 602: 5636.0
Mejor fitness en iteración 603: 5636.0
Mejor fitness en iteración 604: 5636.0
Mejor fitness en iteración 605: 5636.0
Mejor fitness en iteración 606: 5636.0
Mejor fitness en iteración 607: 5636.0
Mejor fitness en iteración 608: 5636.0
Mejor fitness en iteración 609: 5636.0
Mejor fitness en iteración 610: 5636.0
Mejor fitness en iteración 611: 5636.0
Mejor fitness en iteración 612: 5636.0
Mejor fitness en iteración 613: 5636.0
Mejor fitness en iteración 614: 5636.0
Mejor fitness en iteración 615: 5636.0
Mejor fitness en iteración 616: 5636.0
Mejor fitness en iteración 617: 5636.0
Mejor fitness en iteración 618: 5636.0
Mejor fitness en iteración 619: 5636.0
Mejor fitness en iteración 620: 5636.0
Mejor fitness en iteración 621: 5636.0
Mejor fitness en iteración 622: 5636.0
Mejor fitness en iteración 623: 5636.0
Mejor fitness en iteración 624: 5636.0
Mejor fitness en iteración 625: 5636.0
Mejor fitness en iteración 626: 5636.0
Mejor fitness en iteración 627: 5636.0
Mejor fitness en iteración 628: 5636.0
Mejor fitness en iteración 629: 5636.0
Mejor fitness en iteración 630: 5636.0
Mejor fitness en iteración 631: 5636.0
Mejor fitness en iteración 632: 5636.0
Mejor fitness en iteración 633: 5636.0
Mejor fitness en iteración 634: 5636.0
Mejor fitness en iteración 635: 5636.0
Mejor fitness en iteración 636: 5636.0
Mejor fitness en iteración 637: 5636.0
Mejor fitness en iteración 638: 5636.0
Mejor fitness en iteración 639: 5636.0
Mejor fitness en iteración 640: 5636.0
Mejor fitness en iteración 641: 5636.0
Mejor fitness en iteración 642: 5636.0
Mejor fitness en iteración 643: 5636.0
Mejor fitness en iteración 644: 5636.0
Mejor fitness en iteración 645: 5636.0
Mejor fitness en iteración 646: 5636.0
Mejor fitness en iteración 647: 5636.0
Mejor fitness en iteración 648: 5636.0
Mejor fitness en iteración 649: 5636.0
Mejor fitness en iteración 650: 5636.0
Mejor fitness en iteración 651: 5636.0
Mejor fitness en iteración 652: 5636.0
Mejor fitness en iteración 653: 5636.0
Mejor fitness en iteración 654: 5636.0
Mejor fitness en iteración 655: 5636.0
Mejor fitness en iteración 656: 5636.0
Mejor fitness en iteración 657: 5636.0
Mejor fitness en iteración 658: 5636.0
Mejor fitness en iteración 659: 5636.0
