Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5625.0
Costo promedio (Población): 5625,00
Tiempo total de ejecución: 842.0 ms
Tiempo promedio por generación: 0,84 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11813.0
Mejor fitness en iteración 449: 5629.0
Mejor fitness en iteración 450: 5629.0
Mejor fitness en iteración 451: 5629.0
Mejor fitness en iteración 452: 5629.0
Mejor fitness en iteración 453: 5629.0
Mejor fitness en iteración 454: 5629.0
Mejor fitness en iteración 455: 5629.0
Mejor fitness en iteración 456: 5629.0
Mejor fitness en iteración 457: 5629.0
Mejor fitness en iteración 458: 5629.0
Mejor fitness en iteración 459: 5629.0
Mejor fitness en iteración 460: 5629.0
Mejor fitness en iteración 461: 5629.0
Mejor fitness en iteración 462: 5629.0
Mejor fitness en iteración 463: 5629.0
Mejor fitness en iteración 464: 5629.0
Mejor fitness en iteración 465: 5629.0
Mejor fitness en iteración 466: 5629.0
Mejor fitness en iteración 467: 5629.0
Mejor fitness en iteración 468: 5629.0
Mejor fitness en iteración 469: 5629.0
Mejor fitness en iteración 470: 5629.0
Mejor fitness en iteración 471: 5629.0
Mejor fitness en iteración 472: 5629.0
Mejor fitness en iteración 473: 5629.0
Mejor fitness en iteración 474: 5629.0
Mejor fitness en iteración 475: 5629.0
Mejor fitness en iteración 476: 5629.0
Mejor fitness en iteración 477: 5629.0
Mejor fitness en iteración 478: 5629.0
Mejor fitness en iteración 479: 5629.0
Mejor fitness en iteración 480: 5629.0
Mejor fitness en iteración 481: 5629.0
Mejor fitness en iteración 482: 5628.0
Mejor fitness en iteración 483: 5628.0
Mejor fitness en iteración 484: 5628.0
Mejor fitness en iteración 485: 5628.0
Mejor fitness en iteración 486: 5628.0
Mejor fitness en iteración 487: 5628.0
Mejor fitness en iteración 488: 5628.0
Mejor fitness en iteración 489: 5628.0
Mejor fitness en iteración 490: 5628.0
Mejor fitness en iteración 491: 5628.0
Mejor fitness en iteración 492: 5628.0
Mejor fitness en iteración 493: 5628.0
Mejor fitness en iteración 494: 5628.0
Mejor fitness en iteración 495: 5628.0
Mejor fitness en iteración 496: 5628.0
Mejor fitness en iteración 497: 5628.0
Mejor fitness en iteración 498: 5628.0
Mejor fitness en iteración 499: 5628.0
Mejor fitness en iteración 500: 5628.0
Mejor fitness en iteración 501: 5628.0
Mejor fitness en iteración 502: 5628.0
Mejor fitness en iteración 503: 5628.0
Mejor fitness en iteración 504: 5628.0
Mejor fitness en iteración 505: 5628.0
Mejor fitness en iteración 506: 5628.0
Mejor fitness en iteración 507: 5628.0
Mejor fitness en iteración 508: 5628.0
Mejor fitness en iteración 509: 5628.0
Mejor fitness en iteración 510: 5628.0
Mejor fitness en iteración 511: 5628.0
Mejor fitness en iteración 512: 5628.0
Mejor fitness en iteración 513: 5628.0
Mejor fitness en iteración 514: 5628.0
Mejor fitness en iteración 515: 5628.0
Mejor fitness en iteración 516: 5628.0
Mejor fitness en iteración 517: 5628.0
Mejor fitness en iteración 518: 5628.0
Mejor fitness en iteración 519: 5628.0
Mejor fitness en iteración 520: 5628.0
Mejor fitness en iteración 521: 5628.0
Mejor fitness en iteración 522: 5628.0
Mejor fitness en iteración 523: 5628.0
Mejor fitness en iteración 524: 5628.0
Mejor fitness en iteración 525: 5628.0
Mejor fitness en iteración 526: 5628.0
Mejor fitness en iteración 527: 5628.0
Mejor fitness en iteración 528: 5628.0
Mejor fitness en iteración 529: 5628.0
Mejor fitness en iteración 530: 5628.0
Mejor fitness en iteración 531: 5628.0
Mejor fitness en iteración 532: 5628.0
Mejor fitness en iteración 533: 5628.0
Mejor fitness en iteración 534: 5628.0
Mejor fitness en iteración 535: 5628.0
Mejor fitness en iteración 536: 5628.0
Mejor fitness en iteración 537: 5628.0
Mejor fitness en iteración 538: 5628.0
Mejor fitness en iteración 539: 5628.0
Mejor fitness en iteración 540: 5628.0
Mejor fitness en iteración 541: 5628.0
Mejor fitness en iteración 542: 5628.0
Mejor fitness en iteración 543: 5628.0
Mejor fitness en iteración 544: 5628.0
Mejor fitness en iteración 545: 5628.0
Mejor fitness en iteración 546: 5628.0
Mejor fitness en iteración 547: 5628.0
Mejor fitness en iteración 548: 5628.0
Mejor fitness en iteración 549: 5628.0
Mejor fitness en iteración 550: 5628.0
Mejor fitness en iteración 551: 5628.0
Mejor fitness en iteración 552: 5628.0
Mejor fitness en iteración 553: 5628.0
Mejor fitness en iteración 554: 5628.0
Mejor fitness en iteración 555: 5628.0
Mejor fitness en iteración 556: 5628.0
Mejor fitness en iteración 557: 5628.0
Mejor fitness en iteración 558: 5628.0
Mejor fitness en iteración 559: 5628.0
Mejor fitness en iteración 560: 5628.0
Mejor fitness en iteración 561: 5628.0
Mejor fitness en iteración 562: 5628.0
Mejor fitness en iteración 563: 5628.0
Mejor fitness en iteración 564: 5628.0
Mejor fitness en iteración 565: 5628.0
Mejor fitness en iteración 566: 5628.0
Mejor fitness en iteración 567: 5628.0
Mejor fitness en iteración 568: 5628.0
Mejor fitness en iteración 569: 5628.0
Mejor fitness en iteración 570: 5628.0
Mejor fitness en iteración 571: 5628.0
Mejor fitness en iteración 572: 5625.0
Mejor fitness en iteración 573: 5625.0
Mejor fitness en iteración 574: 5625.0
Mejor fitness en iteración 575: 5625.0
Mejor fitness en iteración 576: 5625.0
Mejor fitness en iteración 577: 5625.0
Mejor fitness en iteración 578: 5625.0
Mejor fitness en iteración 579: 5625.0
Mejor fitness en iteración 580: 5625.0
Mejor fitness en iteración 581: 5625.0
Mejor fitness en iteración 582: 5625.0
Mejor fitness en iteración 583: 5625.0
Mejor fitness en iteración 584: 5625.0
Mejor fitness en iteración 585: 5625.0
Mejor fitness en iteración 586: 5625.0
Mejor fitness en iteración 587: 5625.0
Mejor fitness en iteración 588: 5625.0
Mejor fitness en iteración 589: 5625.0
Mejor fitness en iteración 590: 5625.0
Mejor fitness en iteración 591: 5625.0
Mejor fitness en iteración 592: 5625.0
Mejor fitness en iteración 593: 5625.0
Mejor fitness en iteración 594: 5625.0
Mejor fitness en iteración 595: 5625.0
Mejor fitness en iteración 596: 5625.0
Mejor fitness en iteración 597: 5625.0
Mejor fitness en iteración 598: 5625.0
Mejor fitness en iteración 599: 5625.0
Mejor fitness en iteración 600: 5625.0
Mejor fitness en iteración 601: 5625.0
Mejor fitness en iteración 602: 5625.0
Mejor fitness en iteración 603: 5625.0
Mejor fitness en iteración 604: 5625.0
Mejor fitness en iteración 605: 5625.0
Mejor fitness en iteración 606: 5625.0
Mejor fitness en iteración 607: 5625.0
Mejor fitness en iteración 608: 5625.0
Mejor fitness en iteración 609: 5625.0
Mejor fitness en iteración 610: 5625.0
Mejor fitness en iteración 611: 5625.0
Mejor fitness en iteración 612: 5625.0
Mejor fitness en iteración 613: 5625.0
Mejor fitness en iteración 614: 5625.0
Mejor fitness en iteración 615: 5625.0
Mejor fitness en iteración 616: 5625.0
Mejor fitness en iteración 617: 5625.0
Mejor fitness en iteración 618: 5625.0
Mejor fitness en iteración 619: 5625.0
Mejor fitness en iteración 620: 5625.0
Mejor fitness en iteración 621: 5625.0
Mejor fitness en iteración 622: 5625.0
Mejor fitness en iteración 623: 5625.0
Mejor fitness en iteración 624: 5625.0
Mejor fitness en iteración 625: 5625.0
Mejor fitness en iteración 626: 5625.0
Mejor fitness en iteración 627: 5625.0
Mejor fitness en iteración 628: 5625.0
Mejor fitness en iteración 629: 5625.0
Mejor fitness en iteración 630: 5625.0
Mejor fitness en iteración 631: 5625.0
Mejor fitness en iteración 632: 5625.0
Mejor fitness en iteración 633: 5625.0
Mejor fitness en iteración 634: 5625.0
Mejor fitness en iteración 635: 5625.0
Mejor fitness en iteración 636: 5625.0
Mejor fitness en iteración 637: 5625.0
Mejor fitness en iteración 638: 5625.0
Mejor fitness en iteración 639: 5625.0
Mejor fitness en iteración 640: 5625.0
Mejor fitness en iteración 641: 5625.0
Mejor fitness en iteración 642: 5625.0
Mejor fitness en iteración 643: 5625.0
Mejor fitness en iteración 644: 5625.0
Mejor fitness en iteración 645: 5625.0
Mejor fitness en iteración 646: 5625.0
Mejor fitness en iteración 647: 5625.0
Mejor fitness en iteración 648: 5625.0
Mejor fitness en iteración 649: 5625.0
Mejor fitness en iteración 650: 5625.0
Mejor fitness en iteración 651: 5625.0
Mejor fitness en iteración 652: 5625.0
Mejor fitness en iteración 653: 5625.0
Mejor fitness en iteración 654: 5625.0
Mejor fitness en iteración 655: 5625.0
Mejor fitness en iteración 656: 5625.0
Mejor fitness en iteración 657: 5625.0
Mejor fitness en iteración 658: 5625.0
Mejor fitness en iteración 659: 5625.0
